Common name,Scientific name,Status,No.,No. Back
Rufous-throated Antbird,Gymnopithys rufigula,,47,7
White-throated Antbird,Oneillornis salvini,,46,25
Lunulated Antbird,Oneillornis lunulatus,,22,1
Bare-eyed Antbird,Rhegmatorhina gymnops,,32,5
Harlequin Antbird,Rhegmatorhina berlepschi,,17,1
White-breasted Antbird,Rhegmatorhina hoffmannsi,,18,0
Chestnut-crested Antbird,Rhegmatorhina cristata,,17,0
Hairy-crested Antbird,Rhegmatorhina melanosticta,,66,8
Black-spotted Bare-eye,Phlegopsis nigromaculata,,114,49
Reddish-winged Bare-eye,Phlegopsis erythroptera,,29,2
Pale-faced Bare-eye,Phlegopsis borbae,,10,0
Common Scale-backed Antbird,Willisornis poecilinotus,,148,75
Xingu Scale-backed Antbird,Willisornis vidua,,44,4
Ferruginous Antbird,Drymophila ferruginea,,155,355
Bertoni's Antbird,Drymophila rubricollis,,112,40
Rufous-tailed Antbird,Drymophila genei,,79,16
Ochre-rumped Antbird,Drymophila ochropyga,,144,56
Dusky-tailed Antbird,Drymophila malura,,146,50
Scaled Antbird,Drymophila squamata,,189,88
Striated Antbird,Drymophila devillei,,118,115
Santa Marta Antbird,Drymophila hellmayri,,38,0
Klages's Antbird,Drymophila klagesi,,29,4
East Andean Antbird,Drymophila caudata,,15,1
Streak-headed Antbird,Drymophila striaticeps,,147,102
Guianan Warbling Antbird,Hypocnemis cantator,,121,54
Imeri Warbling Antbird,Hypocnemis flavescens,,56,7
Peruvian Warbling Antbird,Hypocnemis peruviana,,158,129
Yellow-breasted Warbling Antbird,Hypocnemis subflava,,59,179
Rondonia Warbling Antbird,Hypocnemis ochrogyna,,50,30
Spix's Warbling Antbird,Hypocnemis striata,,105,67
Manicore Warbling Antbird,Hypocnemis rondoni,,7,0
Yellow-browed Antbird,Hypocnemis hypoxantha,,89,31
Southern Chestnut-tailed Antbird,Sciaphylax hemimelaena,,185,312
Northern Chestnut-tailed Antbird,Sciaphylax castanea,,60,7
Willis's Antbird,Cercomacroides laeta,,61,42
Parker's Antbird,Cercomacroides parkeri,,87,26
Blackish Antbird,Cercomacroides nigrescens,,188,106
Riparian Antbird,Cercomacroides fuscicauda,,76,27
Dusky Antbird,Cercomacroides tyrannina,,344,241
Black Antbird,Cercomacroides serva,,124,74
Manu Antbird,Cercomacra manu,,79,50
Rio de Janeiro Antbird,Cercomacra brasiliana,,32,30
Grey Antbird,Cercomacra cinerascens,,209,668
Mato Grosso Antbird,Cercomacra melanaria,,69,24
Bananal Antbird,Cercomacra ferdinandi,,31,19
Jet Antbird,Cercomacra nigricans,,108,30
Rio Branco Antbird,Cercomacra carbonaria,,28,5
Ferruginous-backed Antbird,Myrmoderus ferrugineus,,127,28
Cordillera Azul Antbird,Myrmoderus eowilsoni,,17,0
Scalloped Antbird,Myrmoderus ruficauda,,62,6
White-bibbed Antbird,Myrmoderus loricatus,,96,33
Squamate Antbird,Myrmoderus squamosus,,141,35
Black-chinned Antbird,Hypocnemoides melanopogon,,87,19
Band-tailed Antbird,Hypocnemoides maculicauda,,61,21
Spotted Antbird,Hylophylax naevioides,,89,41
Spot-backed Antbird,Hylophylax naevius,,213,44
Dot-backed Antbird,Hylophylax punctulatus,,103,13
Silvered Antbird,Sclateria naevia,,192,69
Plumbeous Antbird,Myrmelastes hyperythrus,,104,115
Slate-colored Antbird,Myrmelastes schistaceus,,42,4
Spot-winged Antbird,Myrmelastes leucostigma,,135,6
Humaita Antbird,Myrmelastes humaythae,,28,8
Brownish-headed Antbird,Myrmelastes brunneiceps,,9,0
Rufous-faced Antbird,Myrmelastes rufifacies,,47,4
Roraiman Antbird,Myrmelastes saturatus,,20,0
Caura Antbird,Myrmelastes caurensis,,5,0
Chestnut-backed Antbird,Poliocrania exsul,,288,505
Grey-headed Antbird,Ampelornis griseiceps,,21,2
Stub-tailed Antbird,Sipia berlepschi,,44,25
Esmeraldas Antbird,Sipia nigricauda,,61,15
Magdalena Antbird,Sipia palliata,,58,4
Dull-mantled Antbird,Sipia laemosticta,,44,3
White-bellied Antbird,Myrmeciza longipes,,134,80
Black-tailed Antbird,Myrmoborus melanurus,,32,2
White-lined Antbird,Myrmoborus lophotes,,60,116
Black-faced Antbird,Myrmoborus myotherinus,,339,406
White-browed Antbird,Myrmoborus leucophrys,,232,269
Ash-breasted Antbird,Myrmoborus lugubris,,41,12
Bare-crowned Antbird,Gymnocichla nudiceps,,43,1
Western Fire-eye,Pyriglena maura,,152,50
Tapajos Fire-eye,Pyriglena similis,,25,16
East Amazonian Fire-eye,Pyriglena leuconota,,97,50
Fringe-backed Fire-eye,Pyriglena atra,,32,0
White-shouldered Fire-eye,Pyriglena leucoptera,,208,286
Slender Antbird,Rhopornis ardesiacus,,52,3
Black-headed Antbird,Percnostola rufifrons,,164,71
Allpahuayo Antbird,Percnostola arenarum,,30,3
White-shouldered Antbird,Percnostola melanoceps,,72,82
Goeldi's Antbird,Percnostola goeldii,,86,189
Sooty Antbird,Percnostola fortis,,103,50
Blue-lored Antbird,Percnostola immaculata,,61,18
Zeledon's Antbird,Percnostola zeledoni,,130,24
Rufous-capped Antthrush,Formicarius colma,,200,71
Black-faced Antthrush,Formicarius analis,,347,759
Mayan Antthrush,Formicarius moniliger,,50,14
Rufous-fronted Antthrush,Formicarius rufifrons,,28,12
Black-headed Antthrush,Formicarius nigricapillus,,69,41
Rufous-breasted Antthrush,Formicarius rufipectus,,100,94
Short-tailed Antthrush,Chamaeza campanisona,,299,216
Striated Antthrush,Chamaeza nobilis,,48,7
Cryptic Antthrush,Chamaeza meruloides,,79,84
Rufous-tailed Antthrush,Chamaeza ruficauda,,101,53
Schwartz's Antthrush,Chamaeza turdina,,71,3
Barred Antthrush,Chamaeza mollissima,,62,7
Undulated Antpitta,Grallaria squamigera,,96,94
Giant Antpitta,Grallaria gigantea,,18,0
Great Antpitta,Grallaria excelsa,,12,0
Variegated Antpitta,Grallaria varia,,121,104
Moustached Antpitta,Grallaria alleni,,56,6
Scaled Antpitta,Grallaria guatimalensis,,123,96
Tachira Antpitta,Grallaria chthonia,,0,0
Plain-backed Antpitta,Grallaria haplonota,,73,39
Ochre-striped Antpitta,Grallaria dignissima,,31,12
Elusive Antpitta,Grallaria eludens,,13,0
Chestnut-crowned Antpitta,Grallaria ruficapilla,,338,391
Watkins's Antpitta,Grallaria watkinsi,,58,26
Santa Marta Antpitta,Grallaria bangsi,,83,10
Cundinamarca Antpitta,Grallaria kaestneri,,67,4
Stripe-headed Antpitta,Grallaria andicolus,,31,6
Grey-naped Antpitta,Grallaria griseonucha,,19,0
Jocotoco Antpitta,Grallaria ridgelyi,,37,2
Chestnut-naped Antpitta,Grallaria nuchalis,,131,37
Pale-billed Antpitta,Grallaria carrikeri,,20,0
White-throated Antpitta,Grallaria albigula,,58,14
Yellow-breasted Antpitta,Grallaria flavotincta,,88,23
White-bellied Antpitta,Grallaria hypoleuca,,120,28
Rusty-tinged Antpitta,Grallaria przewalskii,,41,11
Bay Antpitta,Grallaria capitalis,,30,2
Red-and-white Antpitta,Grallaria erythroleuca,,33,1
Sierra Nevada Antpitta,Grallaria spatiator,,20,1
Perija Antpitta,Grallaria saltuensis,,17,1
Muisca Antpitta,Grallaria rufula,,106,3
Bicolored Antpitta,Grallaria rufocinerea,,58,1
Chami Antpitta,Grallaria alvarezi,,25,7
Equatorial Antpitta,Grallaria saturata,,57,30
Cajamarca Antpitta,Grallaria cajamarcae,,43,22
Chestnut Antpitta,Grallaria blakei,,26,0
Chachapoya Antpitta,Grallaria gravesi,,17,1
Panao Antpitta,Grallaria oneilli,,6,4
Junin Antpitta,Grallaria obscura,,12,1
Oxapampa Antpitta,Grallaria centralis,,19,0
Ayacucho Antpitta,Grallaria ayacuchensis,,1,0
Urubamba Antpitta,Grallaria occabambae,,17,1
Puno Antpitta,Grallaria sinaensis,,5,1
Bolivian Antpitta,Grallaria cochabambae,,32,16
Tawny Antpitta,Grallaria quitensis,,182,48
Brown-banded Antpitta,Grallaria milleri,,53,6
Urrao Antpitta,Grallaria urraoensis,,18,0
Rufous-faced Antpitta,Grallaria erythrotis,,44,54
Streak-chested Antpitta,Hylopezus perspicillatus,,84,83
Spotted Antpitta,Hylopezus macularius,,46,11
Snethlage's Antpitta,Hylopezus paraensis,,17,3
Alta Floresta Antpitta,Hylopezus whittakeri,,19,9
Masked Antpitta,Hylopezus auricularis,,30,4
Thicket Antpitta,Hylopezus dives,,70,19
White-lored Antpitta,Hylopezus fulviventris,,33,4
Amazonian Antpitta,Hylopezus berlepschi,,73,108
White-browed Antpitta,Hylopezus ochroleucus,,44,32
Speckle-breasted Antpitta,Cryptopezus nattereri,,114,61
Thrush-like Antpitta,Myrmothera campanisona,,191,202
Tapajos Antpitta,Myrmothera subcanescens,,29,45
Tepui Antpitta,Myrmothera simplex,,44,2
Ochre-breasted Antpitta,Grallaricula flavirostris,,47,6
Scallop-breasted Antpitta,Grallaricula loricata,,5,0
Hooded Antpitta,Grallaricula cucullata,,22,1
Peruvian Antpitta,Grallaricula peruviana,,15,0
Ochre-fronted Antpitta,Grallaricula ochraceifrons,,19,2
Rusty-breasted Antpitta,Grallaricula ferrugineipectus,,56,6
Rufous-breasted Antpitta,Grallaricula leymebambae,,53,4
Slaty-crowned Antpitta,Grallaricula nana,,166,54
Sucre Antpitta,Grallaricula cumanensis,,6,1
Crescent-faced Antpitta,Grallaricula lineifrons,,38,1
Rufous Gnateater,Conopophaga lineata,,177,77
Chestnut-belted Gnateater,Conopophaga aurita,,56,2
Hooded Gnateater,Conopophaga roberti,,17,6
Ash-throated Gnateater,Conopophaga peruviana,,15,6
Ceara Gnateater,Conopophaga cearae,,28,8
Slaty Gnateater,Conopophaga ardesiaca,,11,1
Chestnut-crowned Gnateater,Conopophaga castaneiceps,,51,6
Black-cheeked Gnateater,Conopophaga melanops,,127,29
Black-bellied Gnateater,Conopophaga melanogaster,,34,0
Black-crowned Antpitta,Pittasoma michleri,,16,0
Rufous-crowned Antpitta,Pittasoma rufopileatum,,32,2
Ocellated Tapaculo,Acropternis orthonyx,,120,23
Chestnut-throated Huet-huet,Pteroptochos castaneus,,42,0
Black-throated Huet-huet,Pteroptochos tarnii,,44,3
Moustached Turca,Pteroptochos megapodius,,84,21
White-throated Tapaculo,Scelorchilus albicollis,,57,5
Chucao Tapaculo,Scelorchilus rubecula,,84,11
Crested Gallito,Rhinocrypta lanceolata,,40,55
Sandy Gallito,Teledromas fuscus,,21,5
Rusty-belted Tapaculo,Liosceles thoracicus,,112,215
Spotted Bamboowren,Psilorhamphus guttatus,,69,23
Slaty Bristlefront,Merulaxis ater,,109,19
Stresemann's Bristlefront,Merulaxis stresemanni,,24,2
Ochre-flanked Tapaculo,Eugralla paradoxa,,80,2
Ash-colored Tapaculo,Myornis senilis,,101,9
White-breasted Tapaculo,Eleoscytalopus indigoticus,,109,40
Bahia Tapaculo,Eleoscytalopus psychopompus,,14,0
Marsh Tapaculo,Scytalopus iraiensis,,28,0
Diamantina Tapaculo,Scytalopus diamantinensis,,21,0
Brasilia Tapaculo,Scytalopus novacapitalis,,33,0
Rock Tapaculo,Scytalopus petrophilus,,23,2
Planalto Tapaculo,Scytalopus pachecoi,,38,3
Boa Nova Tapaculo,Scytalopus gonzagai,,6,0
Mouse-colored Tapaculo,Scytalopus speluncae,,130,35
Dusky Tapaculo,Scytalopus fuscus,,41,6
Magellanic Tapaculo,Scytalopus magellanicus,,61,6
Ancash Tapaculo,Scytalopus affinis,,15,0
White-winged Tapaculo,Scytalopus krabbei,,7,0
Loja Tapaculo,Scytalopus androstictus,,31,1
Paramo Tapaculo,Scytalopus opacus,,80,1
Paramillo Tapaculo,Scytalopus canus,,33,1
White-browed Tapaculo,Scytalopus superciliaris,,19,1
Zimmer's Tapaculo,Scytalopus zimmeri,,51,10
Puna Tapaculo,Scytalopus simonsi,,26,7
Diademed Tapaculo,Scytalopus schulenbergi,,27,13
Vilcabamba Tapaculo,Scytalopus urubambae,,13,0
Ampay Tapaculo,Scytalopus whitneyi,,22,0
Jalca Tapaculo,Scytalopus frankeae,,20,0
Neblina Tapaculo,Scytalopus altirostris,,16,2
Trilling Tapaculo,Scytalopus parvirostris,,65,31
Bolivian Tapaculo,Scytalopus bolivianus,,34,10
White-crowned Tapaculo,Scytalopus atratus,,182,32
Santa Marta Tapaculo,Scytalopus sanctaemartae,,35,0
Long-tailed Tapaculo,Scytalopus micropterus,,82,18
Rufous-vented Tapaculo,Scytalopus femoralis,,68,24
Utcubamba Tapaculo,Scytalopus intermedius,,40,3
Large-footed Tapaculo,Scytalopus macropus,,11,1
Junin Tapaculo,Scytalopus gettyae,,27,0
Unicolored Tapaculo,Scytalopus unicolor,,66,3
Tschudi's Tapaculo,Scytalopus acutirostris,,57,7
Blackish Tapaculo,Scytalopus latrans,,454,111
Silvery-fronted Tapaculo,Scytalopus argentifrons,,52,7
Narino Tapaculo,Scytalopus vicinior,,110,17
Tacarcuna Tapaculo,Scytalopus panamensis,,9,1
Choco Tapaculo,Scytalopus chocoensis,,68,6
Magdalena Tapaculo,Scytalopus rodriguezi,,43,0
Stiles's Tapaculo,Scytalopus stilesi,,54,5
Tatama Tapaculo,Scytalopus alvarezlopezi,,63,2
El Oro Tapaculo,Scytalopus robbinsi,,34,0
Caracas Tapaculo,Scytalopus caracae,,12,0
Pale-bellied Tapaculo,Scytalopus griseicollis,,138,35
Brown-rumped Tapaculo,Scytalopus latebricola,,48,6
Perija Tapaculo,Scytalopus perijanus,,32,2
Merida Tapaculo,Scytalopus meridanus,,82,5
Chusquea Tapaculo,Scytalopus parkeri,,81,21
Spillmann's Tapaculo,Scytalopus spillmanni,,193,24
Collared Crescentchest,Melanopareia torquata,,51,8
Double-collared Crescentchest,Melanopareia bitorquata,,4,4
Olive-crowned Crescentchest,Melanopareia maximiliani,,52,14
Maranon Crescentchest,Melanopareia maranonica,,42,6
Elegant Crescentchest,Melanopareia elegans,,60,42
Grey-headed Piprites,Piprites griseiceps,,10,0
Wing-barred Piprites,Piprites chloris,,212,203
Black-capped Piprites,Piprites pileata,,24,3
Planalto Tyrannulet,Phyllomyias fasciatus,,102,141
Yungas Tyrannulet,Phyllomyias weedeni,,13,0
Rough-legged Tyrannulet,Phyllomyias burmeisteri,,94,12
White-fronted Tyrannulet,Phyllomyias zeledoni,,43,4
Greenish Tyrannulet,Phyllomyias virescens,,52,17
Reiser's Tyrannulet,Phyllomyias reiseri,,23,1
Urich's Tyrannulet,Phyllomyias urichi,,0,0
Sclater's Tyrannulet,Phyllomyias sclateri,,31,10
Grey-capped Tyrannulet,Phyllomyias griseocapilla,,37,29
Sooty-headed Tyrannulet,Phyllomyias griseiceps,,112,44
Plumbeous-crowned Tyrannulet,Phyllomyias plumbeiceps,,32,11
Black-capped Tyrannulet,Phyllomyias nigrocapillus,,52,19
Ashy-headed Tyrannulet,Phyllomyias cinereiceps,,47,4
Tawny-rumped Tyrannulet,Phyllomyias uropygialis,,35,10
Yellow-crowned Tyrannulet,Tyrannulus elatus,,96,240
Forest Elaenia,Myiopagis gaimardii,,165,318
Grey Elaenia,Myiopagis caniceps,,193,70
Foothill Elaenia,Myiopagis olallai,,50,3
Pacific Elaenia,Myiopagis subplacens,,39,22
Yellow-crowned Elaenia,Myiopagis flavivertex,,50,11
Greenish Elaenia,Myiopagis viridicata,,236,94
Jamaican Elaenia,Myiopagis cotta,,1,0
Yellow-bellied Elaenia,Elaenia flavogaster,,283,409
Caribbean Elaenia,Elaenia martinica,,45,14
Large Elaenia,Elaenia spectabilis,,128,48
Noronha Elaenia,Elaenia ridleyana,,16,1
White-crested Elaenia,Elaenia albiceps,,88,51
Chilean Elaenia,Elaenia chilensis,,149,80
Small-billed Elaenia,Elaenia parvirostris,,144,88
Olivaceous Elaenia,Elaenia mesoleuca,,95,27
Slaty Elaenia,Elaenia strepera,,20,0
Mottle-backed Elaenia,Elaenia gigas,,21,8
Brownish Elaenia,Elaenia pelzelni,,11,5
Plain-crested Elaenia,Elaenia cristata,,73,22
Lesser Elaenia,Elaenia chiriquensis,,116,25
Coopmans's Elaenia,Elaenia brachyptera,,33,0
Rufous-crowned Elaenia,Elaenia ruficeps,,23,1
Mountain Elaenia,Elaenia frantzii,,171,89
Highland Elaenia,Elaenia obscura,,35,14
Small-headed Elaenia,Elaenia sordida,,68,12
Great Elaenia,Elaenia dayi,,4,0
Sierran Elaenia,Elaenia pallatangae,,63,32
Tepui Elaenia,Elaenia olivina,,8,0
Greater Antillean Elaenia,Elaenia fallax,,4,0
Yellow-bellied Tyrannulet,Ornithion semiflavum,,28,3
Brown-capped Tyrannulet,Ornithion brunneicapillus,,58,57
White-lored Tyrannulet,Ornithion inerme,,163,61
Northern Beardless Tyrannulet,Camptostoma imberbe,,170,129
Southern Beardless Tyrannulet,Camptostoma obsoletum,,446,398
Suiriri Flycatcher,Suiriri suiriri,,120,57
White-throated Tyrannulet,Mecocerculus leucophrys,,185,89
White-tailed Tyrannulet,Mecocerculus poecilocercus,,49,22
Buff-banded Tyrannulet,Mecocerculus hellmayri,,29,6
Rufous-winged Tyrannulet,Mecocerculus calopterus,,6,1
Sulphur-bellied Tyrannulet,Mecocerculus minor,,30,2
White-banded Tyrannulet,Mecocerculus stictopterus,,97,47
Black-crested Tit-Tyrant,Anairetes nigrocristatus,,25,0
Pied-crested Tit-Tyrant,Anairetes reguloides,,16,1
Ash-breasted Tit-Tyrant,Anairetes alpinus,,12,0
Yellow-billed Tit-Tyrant,Anairetes flavirostris,,37,8
Tufted Tit-Tyrant,Anairetes parulus,,94,20
Juan Fernandez Tit-Tyrant,Anairetes fernandezianus,,9,0
Agile Tit-Tyrant,Uromyias agilis,,41,4
Unstreaked Tit-Tyrant,Uromyias agraphia,,26,1
Torrent Tyrannulet,Serpophaga cinerea,,22,2
River Tyrannulet,Serpophaga hypoleuca,,24,3
Sooty Tyrannulet,Serpophaga nigricans,,34,0
White-crested Tyrannulet,Serpophaga subcristata,,106,22
White-bellied Tyrannulet,Serpophaga munda,,32,12
Straneck's Tyrannulet,Serpophaga griseicapilla,,54,4
Mouse-colored Tyrannulet,Phaeomyias murina,,245,114
Tumbesian Tyrannulet,Phaeomyias tumbezana,,60,3
Yellow Tyrannulet,Capsiempis flaveola,,237,137
Bearded Tachuri,Polystictus pectoralis,,19,0
Grey-backed Tachuri,Polystictus superciliaris,,21,1
Cocos Flycatcher,Nesotriccus ridgwayi,,0,0
Dinelli's Doradito,Pseudocolopteryx dinelliana,,22,0
Crested Doradito,Pseudocolopteryx sclateri,,12,0
Subtropical Doradito,Pseudocolopteryx acutipennis,,8,0
Warbling Doradito,Pseudocolopteryx flaviventris,,25,0
Ticking Doradito,Pseudocolopteryx citreola,,33,4
Bronze-olive Pygmy Tyrant,Pseudotriccus pelzelni,,58,1
Hazel-fronted Pygmy Tyrant,Pseudotriccus simplex,,13,2
Rufous-headed Pygmy Tyrant,Pseudotriccus ruficeps,,75,13
Ringed Antpipit,Corythopis torquatus,,106,79
Southern Antpipit,Corythopis delalandi,,136,53
Tawny-crowned Pygmy Tyrant,Euscarthmus meloryphus,,245,98
Rufous-sided Pygmy Tyrant,Euscarthmus rufomarginatus,,55,5
Grey-and-white Tyrannulet,Pseudelaenia leucospodia,,25,10
Lesser Wagtail-Tyrant,Stigmatura napensis,,44,6
Greater Wagtail-Tyrant,Stigmatura budytoides,,76,52
Guatemalan Tyrannulet,Zimmerius vilissimus,,27,17
Mistletoe Tyrannulet,Zimmerius parvus,,39,41
Spectacled Tyrannulet,Zimmerius improbus,,7,7
Venezuelan Tyrannulet,Zimmerius petersi,,4,0
Bolivian Tyrannulet,Zimmerius bolivianus,,16,5
Red-billed Tyrannulet,Zimmerius cinereicapilla,,16,0
Mishana Tyrannulet,Zimmerius villarejoi,,26,3
Chico's Tyrannulet,Zimmerius chicomendesi,,4,0
Slender-footed Tyrannulet,Zimmerius gracilipes,,66,100
Guianan Tyrannulet,Zimmerius acer,,88,55
Golden-faced Tyrannulet,Zimmerius chrysops,,198,291
Coopmans's Tyrannulet,Zimmerius minimus,,6,0
Choco Tyrannulet,Zimmerius albigularis,,28,30
Loja Tyrannulet,Zimmerius flavidifrons,,27,6
Peruvian Tyrannulet,Zimmerius viridiflavus,,18,43
Variegated Bristle Tyrant,Pogonotriccus poecilotis,,27,19
Chapman's Bristle Tyrant,Pogonotriccus chapmani,,3,0
Marble-faced Bristle Tyrant,Pogonotriccus ophthalmicus,,68,23
Spectacled Bristle Tyrant,Pogonotriccus orbitalis,,17,4
Venezuelan Bristle Tyrant,Pogonotriccus venezuelanus,,3,0
Antioquia Bristle Tyrant,Pogonotriccus lanyoni,,29,0
Southern Bristle Tyrant,Pogonotriccus eximius,,44,5
Mottle-cheeked Tyrannulet,Phylloscartes ventralis,,129,23
Alagoas Tyrannulet,Phylloscartes ceciliae,,22,2
Restinga Tyrannulet,Phylloscartes kronei,,47,1
Bahia Tyrannulet,Phylloscartes beckeri,,15,2
Panamanian Tyrannulet,Phylloscartes flavovirens,,7,0
Olive-green Tyrannulet,Phylloscartes virescens,,16,10
Ecuadorian Tyrannulet,Phylloscartes gualaquizae,,46,18
Black-fronted Tyrannulet,Phylloscartes nigrifrons,,8,0
Rufous-browed Tyrannulet,Phylloscartes superciliaris,,27,9
Rufous-lored Tyrannulet,Phylloscartes flaviventris,,3,0
Cinnamon-faced Tyrannulet,Phylloscartes parkeri,,11,5
Minas Gerais Tyrannulet,Phylloscartes roquettei,,29,3
Sao Paulo Tyrannulet,Phylloscartes paulista,,37,1
Oustalet's Tyrannulet,Phylloscartes oustaleti,,55,14
Serra do Mar Tyrannulet,Phylloscartes difficilis,,53,11
Bay-ringed Tyrannulet,Phylloscartes sylviolus,,45,0
Streak-necked Flycatcher,Mionectes striaticollis,,39,5
Olive-striped Flycatcher,Mionectes olivaceus,,45,8
Ochre-bellied Flycatcher,Mionectes oleagineus,,187,66
McConnell's Flycatcher,Mionectes macconnelli,,19,7
Sierra de Lema Flycatcher,Mionectes roraimae,,2,0
Grey-hooded Flycatcher,Mionectes rufiventris,,67,23
Sepia-capped Flycatcher,Leptopogon amaurocephalus,,180,117
Slaty-capped Flycatcher,Leptopogon superciliaris,,100,52
Rufous-breasted Flycatcher,Leptopogon rufipectus,,92,12
Inca Flycatcher,Leptopogon taczanowskii,,21,4
Chapada Flycatcher,Guyramemua affine,,27,3
Northern Scrub Flycatcher,Sublegatus arenarum,,16,0
Amazonian Scrub Flycatcher,Sublegatus obscurior,,23,5
Southern Scrub Flycatcher,Sublegatus modestus,,69,4
Slender-billed Inezia,Inezia tenuirostris,,35,7
Plain Inezia,Inezia inornata,,57,9
Amazonian Inezia,Inezia subflava,,24,1
Pale-tipped Inezia,Inezia caudata,,30,7
Flavescent Flycatcher,Myiophobus flavicans,,67,9
Orange-crested Flycatcher,Myiophobus phoenicomitra,,36,0
Unadorned Flycatcher,Myiophobus inornatus,,9,0
